填表说明：根据指南编码规则编号,nan,nan,以项目批复中对应内容为准,nan,nan,以项目批复中项目实施地点为准，例：XX乡（镇）XX 村（居）,以项目竣工决算中项目主要建设内容为准,"与表2数据一致
（保留小数点后面2位）",nan,nan,"与表2数据一致
（保留小数点后面2位）",nan,nan,在“经营类、公益类、到户类“中选择,在“青稞、小麦、饲料、牦牛、乳、羊、猪、鸡、蜂、鱼虾、藏药、,在“巩固、升级、盘活、调整”中选择,在“巩固、升级、盘活、调整”中选择，仅经营类项目填写,根据实际情况填写“是/否”,在“自主运营、合作运营、委托运营“中选择,在“农村集体经济组织、农牧民专业合作社、农户、国企、私企、个,nan,根据实际情况填写“是/否”,例：2022.09,例：该项目带动建档立卡群众不低于23户79人增收，分红金额不,nan,nan,以项目实施内容对应行业单位为准,nan,在“是/否”中选择,财评、合同、立项等,在“是/否”中选择,nan,在“是/否”中选择
540425201720004,林芝市,察隅县,2017,察瓦龙乡龙布村突尼斯软籽石榴到户种植项目,察瓦龙乡人民政府,察瓦龙乡龙布村,种植32亩到户突尼斯软籽石榴其配套灌溉设施，肥料、农药及管护32亩,61.5242105263158,61.5242105263158,0,61.5242105263158,61.5242105263158,0,到户类,石榴,升级,,,,,,,,,,,,,否,6个到户，是同一项目，没有审定金额，只有立项批复但是和台账不一致,是,是,
540425201720005,林芝市,察隅县,2017,察瓦龙乡曲珠村突尼斯软籽石榴到户种植项目,察瓦龙乡人民政府,察瓦龙乡曲珠村,种植6亩到户突尼斯软籽石榴其配套灌溉设施，肥料、农药及管护6亩,21.2857894736842,21.2857894736842,0,21.2857894736842,21.2857894736842,0,到户类,石榴,升级,,,,,,,,,,,,,否,6个到户，是同一项目，没有审定金额，只有立项批复但是和台账不一致,是,是,
540425201720006,林芝市,察隅县,2017,察瓦龙乡松塔村突尼斯软籽石榴到户种植项目,察瓦龙乡人民政府,察瓦龙乡松塔村,种植126亩到户突尼斯软籽石榴其配套灌溉设施，肥料、农药及管护126亩,194.88,194.88,0,194.88,194.88,0,到户类,石榴,升级,,,,,,,,,,,,,否,6个到户，是同一项目，没有审定金额，只有立项批复但是和台账不一致,是,是,
540425201720007,林芝市,察隅县,2017,察瓦龙乡扎恩村突尼斯软籽石榴到户种植项目,察瓦龙乡人民政府,察瓦龙乡扎恩村,种植到户突尼斯软籽石榴其配套灌溉设施，肥料、农药及管护,304.06,304.06,0,304.06,304.06,0,到户类,石榴,升级,,,,,,,,,,,,,否,6个到户，是同一项目，没有审定金额，只有立项批复但是和台账不一致,是,是,
540425201817007,林芝市,察隅县,2018,察隅县察瓦龙乡松塔民俗客栈建设项目,察瓦龙乡人民政府,察瓦龙乡松塔村,装修装饰松塔民俗客栈,53.75,53.75,0,53.75,53.75,0,经营类,乡村旅游,升级,巩固,是,委托运营,个人,,否,,,,,察隅县文化和旅游局,,否,立项+50-1000万台账,是,是,
540425202219034,林芝市,察隅县,2016,察隅县农贸市场综合改造项目,察隅县扶贫开发投资有限公司,竹瓦根镇,核定本工程概算总投资1375.76万元，其中建筑安装工程费1200.93万元，设备购置费29.1万元，工程其他费用85.27万元，基本预备费用60.46万元；察隅县农贸市场综合改造项目位于察隅县农贸市场，核定建设规模及工程内容为：建筑面积3973.89平方米。,1375.76,1375.76,0,1282.832953,1282.832953,0,经营类,商贸流通,巩固,巩固,是,自主运营,,,,,,,,,,是,确权资料+超过1千万的财评台账（21年）,否,无需写,
540425202219055,林芝市,察隅县,2016,察隅县下察隅镇精准扶贫商住楼项目,察隅县扶贫开发投资有限公司,竹瓦根镇,新建2457.5平米的商住楼及附属工程。,803.15,803.15,,755.204967,755.204967,,经营类,商贸流通,巩固,巩固,是,自主运营,,,,,,,,,,是,确权资料,否,无需写,
540425202119032,林芝市,察隅县,2017,察隅县察瓦龙乡、古拉乡扶贫庭院经济,察隅县农业农村局,察瓦龙乡、古拉乡,"柑橘4212株，共计113,724.00元，石榴10281株，共计462,645.00元，香梨10281株，共计18,941.00元，苹果7304株，共计204,512.00元，桃子2907株，共计90,117.00元，葡萄2755株，共计82,650.00元，核桃743株，共计22,020.00元。",105.04,105.04,,105.0427,105.0427,,到户类,其他,调整,,,,,,,,,,,,,是,审定金额来源于确权资料和统计表,否,无需写,
540425202219045,林芝市,察隅县,2017,察隅县异地扶贫产业项目,察隅县扶贫开发投资有限公司,林芝市巴宜区,购置商铺8068.46㎡。,7800,7800,,7800,7800,,经营类,商贸流通,巩固,巩固,是,自主运营,,,,,,,,,"巴宜区幸福小区对面，2017年10月16日09时30分在林芝市建设工程交易中心进行公开招标，确定林芝睿晟商贸有限公司为中标人；中标价为5,020,200.00元;中标内容：共购置商铺8068.46㎡（其中商贸城：3491.99㎡，幸福小区：4576.47㎡），商品房整体年租金为人民币5,020,200.00元，租金按年缴纳，每年为一期，两个月装修期免租金（自2017年11月3日至2018年1月2日），免租期到期后5个工作日内乙方应缴纳第一年度租金合计4,183,500.00元整。",是,确权资料,否,无需写,
540425201912010,林芝市,察隅县,2019,上察隅镇松林村茶叶种植项目（2019）,察隅县产业发展工作领导小组办公室,上察隅镇松林村,土地平整：土石方工程1项；2#地：管道工程1项，50m³蓄水池1座；茶叶种植：茶苗第一次种植402420株，茶苗第二次补种67070株，防草布58156㎡，反光膜31314㎡，铺干松叶枝9320㎡，有机肥67.07t，铁丝网围栏528.6m，大门1座，标识牌2块。,225.1,225.1,,220.820373,220.820373,,经营类,茶,升级,盘活,是,委托运营,私企,察隅伟诚茶业有限责任公司,否,,,,,,,否,立项+50-1000万台账,否,是,
540425201812031,林芝市,察隅县,2020,下察隅镇沙玛村茶叶种植项目,察隅县农业农村局,下察隅沙玛村,"土地平整：土方清理6964.99m³,石方清理15900m³,场地平整298543.48 m²;灌溉工程：管道工程1项，沉砂池1座，取水口1座；50m³蓄水池1座；茶叶种植：第一次茶苗种植1038896株，第二次茶苗补植179120株，防草布233671m²,反光膜64908.61m²,有机肥223.9t;附属设施：铁丝网围栏4988.71m,大门3座，标识牌3个",896,896,,813.381396,813.381396,,经营类,茶,升级,升级,否,,,,,,,,,,,否,19-25年台账（23年）有审定金额,否,是,
540425201812032,林芝市,察隅县,2022,察隅县下察隅镇嘎腰村茶叶种植项目（2022）,下察隅镇人民政府,下察隅嘎腰村,414亩茶苗茶园补植、附属设施完善及管护等,298.35,298.35,,298.35,298.35,,公益类,茶,升级,,,,,林芝毛尖茶叶有限责任公司,,,,,,,,否,合同,否,是,
540425201812035,林芝市,察隅县,2020,察隅县下察隅镇塔玛村等3个茶园提升改造项目,下察隅镇人民政府,下察隅镇塔玛村、宗古村、竹尼村,1797亩茶叶提升改造，土地平整、灌溉工程、茶苗种植、附属工程及三年管理,2858.577,2858.577,,2564.178154,2564.178154,,公益类,茶,升级,,,,,,,,,,,,,否,合同+超1千万财评（23年）,否,是,
540425201812036,林芝市,察隅县,2020,下察隅镇共同村等5个村茶园提升改造项目,下察隅镇人民政府,下察隅镇扎巴村、塔林村、自更村、共同村、沙琼村,3513亩茶叶提升改造，土地平整、灌溉工程、茶苗种植、附属工程及三年管理,5677.5288,5677.5288,,5537.962509,5537.962509,,公益类,茶,升级,,,,,,,,,,,,,否,合同+超1千万财评（23年）,否,是,
540425201812037,林芝市,察隅县,2020,察隅县下察隅镇扎巴村茶叶种植项目,察隅县农业农村局,下察隅镇扎巴村,土地平整及茶叶种植138.4亩、网围栏、大门等附属设施,210.95,210.95,,210.8829941,210.8829941,,经营类,茶,升级,升级,是,委托运营,私企,,,,,,,,,否,项目资料,否,是,
540425201812038,林芝市,察隅县,2022,下察隅镇嘎堆嘎美、新村茶叶种植项目,下察隅镇人民政府,下察隅镇新村、嘎堆嘎美村,788.46亩茶园茶苗补植、附属设施完善及管护等,491.15,491.15,,491.15,491.15,,公益类,茶,升级,,,,,,,,,,,,,否,合同,否,是,
540425201812039,林芝市,察隅县,2020,下察隅镇巴安通村茶叶种植项目,察隅县农业农村局,下察隅镇巴安通村,"土地平整：土方清理2995m³,石方清理1000m³,场地平整713085.95m²,种植沟开挖21392.64m³,种植沟回填18397.64m³;灌溉工程：取水口1座，沉砂池1座，100m³蓄水池1座；茶叶种植：第一次茶叶种植2481542株，第二次茶叶种植427852株，防革布558155m²,反光膜155043m²,有机肥534.82t,附属设施；铁丝网围栏8527.50m,大门2座，标识牌1个",1421.900617,1421.900617,,1389.229304,1389.229304,,经营类,茶,升级,升级,是,委托运营,私企,察隅县西典圣茗农业发展有限公司,,,,,,,,否,,否,是,
540425201812040,林芝市,察隅县,2022,察隅县拉丁村搬迁配套茶叶种植项目,察隅县农业农村局,下察隅仲萨村,"土地平整：土方清理2851.76m³,石方清理10512.50m³,场地平整292175m²,种植沟开挖9421.30m³,种植沟回填7537.04m³;种植工程：茶苗1183140株，防草布236508.90m²,反光膜65698.62m²,有机肥219.10t;种植辅助工程：灌溉工程1项，铁丝网围栏4914.40m,大门及标牌1项",774.19,774.19,,719.604937,719.604937,,经营类,茶,升级,升级,是,自主运营,农村集体经济组织,西藏自治区林芝市察隅县下察隅镇仲萨村股份经济合作社,,,,,,,,否,察隅县农业农村局,否,是,
540425201812043,林芝市,察隅县,2019,察隅县巩固村宗巴组茶叶种植项目,察隅县产业发展工作领导小组办公室,上察隅巩固村,"，新建铁丝围栏1435m,新建大门2座，喷灌工程1项，土方工程1项，标识牌2套，地面破除及恢复8m²;茶叶种植：茶苗第一次种植510750株，茶苗第二次补种85125株，防草布73811 m²,反光膜39744 m²,有机肥463190t",339.47,339.47,,334.197568,334.197568,,经营类,茶,升级,调整,否,,,,,,,,,,,否,项目资料,否,是,
540425201812044,林芝市,察隅县,2019,察隅县巩固村巩固组茶叶种植项目,察隅县产业发展工作领导小组办公室,上察隅巩固村,"新建铁丝围栏4720.4m,新建大门1座，100m³蓄水池1座，取水口1座，喷灌工程1项，场地清理1项，标识牌1套；第一次茶叶种植748290株，第二次补植249430株，防草布194652m²,反光膜104812m²,茶苗及相关采购，茶苗第一次种植748290株，茶苗第二次补种249430株，防草布194652 m²,反光膜104812m²,有机肥249.43t",668.75,668.75,,653.718776,653.718776,,经营类,茶,升级,盘活,是,自主运营,农村集体经济组织,西藏自治区林芝市察隅县上察隅镇巩固村股份经济合作社,,,,,,,,否,项目资料,否,是,
540425201812045,林芝市,察隅县,2022,察隅县上察隅镇竹龙巴搬迁配套茶叶种植项目,察隅县农业农村局,上察隅镇岗藏村,"土地平整：石方清理3500m³,场地平整170632.56 m²,种植沟开挖5503m³,植沟回填4403m³;灌溉工程：管道工程1项，50m³蓄水池1座，25m³蓄水池1座；茶叶种植：茶苗种植1项；附属设施：铁丝网围栏1905.12米，大门1座，标识牌1个",390.74,390.74,,385.626485,385.626485,,经营类,茶,升级,升级,是,自主运营,农村集体经济组织,西藏自治区林芝市察隅县上察隅镇岗藏村股份经济合作社,,,,,,,,否,19-25年台账（24年）有审定金额,否,是,
540425201812046,林芝市,察隅县,2019,察隅县上察隅镇西巴村茶叶种植项目,察隅县农业农村局,上察隅镇西巴村,土地平整1项，灌溉工程：管道工程1项，取水口3座，100m3蓄水池3座；茶叶种植：茶苗第一次种植1376520株，茶苗第二次补种458840株，防草布 358074㎡，反光膜192809㎡，有机肥458.84t；茶叶种植附属工程，铁丝网围栏3600.38m，大门3座，标识牌4块,1866,1866,,1866,1866,,经营类,茶,升级,盘活,否,,,,,,,,,,,否,项目资料,否,是,
540425201812047,林芝市,察隅县,2021,上察隅镇巩固村茶叶粗加工坊建设项目,察隅县农业农村局,上察隅巩固村,茶叶粗加工厂房：建筑装饰工程725.23㎡，安装工程725.23㎡；门卫室：建筑装饰工程53.04㎡，安装工程53.04㎡；附属工程：新建围墙147.50m，硬化工程363.69㎡，停车位画线1.00项，绿化工程530.66㎡，总体给排水工程1.00项，总体电气工程1.00项,294,294,,259.737267,259.737267,,经营类,茶,升级,升级,是,,,,,,,,,,,否,,否,是,
540425201812048,林芝市,察隅县,2019,察隅县上察隅镇米古村茶叶种植项目,察隅县产业发展工作领导小组办公室,上察隅米古村,土地平整：土石方工程1项；2＃地：管道工程1项，取水口1座，50m3蓄水池1座；茶叶种植：茶苗第一次种植182610株，茶苗第二次补种60870株，防草布47502㎡，反光膜25578㎡，有机肥60.87t；茶叶种植附属：铁丝网围栏3310m，标识牌2块,244.92,244.92,,234.747448,234.747448,,经营类,茶,升级,盘活,是,委托运营,私企,林芝毛尖茶叶有限责任公司,,,,,,,,否,19-25年台账（20年）有审定金额,否,是,
540425201812049,林芝市,察隅县,2019,察隅县竹瓦根镇巴嘎村茶叶种植项目,察隅县农业农村局,竹瓦根镇巴嘎村,"种苗1519800株：辅助材料：有机肥447000kg,遮阳膜92332m²,防草布205669m²;人工种植：清林、整地、起龚447亩，植苗、铺防草布、遮阳膜447亩；有害生物害防治：病虫(鼠)害防治447亩(3年);辅助工程：拦河坝1座，宣传牌1套，滴溉管网1项，输水管网1项，1#管桥1座，2#管桥1座，30m³蓄水池土建1座，40m³蓄水池土建1座",1004,1004,,921.038566,921.038566,,经营类,茶,升级,巩固,是,委托运营,私企,林芝毛尖茶叶有限责任公司,,,,,,,底稿已写,否,立项批复+1000万以上台账（22年）,否,是,
540425201812050,林芝市,察隅县,2020,察隅县产业园区茶叶生产加工基地一期工程建设项目,察隅县农业农村局,下察隅镇,茶叶生产加工车间：建筑装饰工程1620.04㎡，安装工程1620.04㎡；茶叶库房：建筑装饰工程762.01㎡，安装工程762.01㎡；室外晒茶架：建筑装饰工程100㎡；门卫室及大门：建筑装饰工程1项，安装工程1项；附属工程：场内道路2299.4㎡，消防车道144㎡，通透式围墙420m，土石方工程1项，排水暗沟300m，新建堡坎77.2m，室外电气工程1项，室外给排水工程1项，设备及工具、器具购置,800,800,,788.362197,788.362197,,经营类,茶,升级,升级,是,委托运营,私企,林芝毛尖茶叶有限责任公司,,,,,,,,否,项目资料,否,是,
540425201812051,林芝市,察隅县,2021,下察隅镇塔林村茶叶粗加工坊建设项目,察隅县农业农村局,下察隅镇塔林村,"茶叶加工厂房：建筑装饰工程725.23m²,安装工程725.23m²;门卫室：建筑装饰工程53.04m²,安装工程53.04m²;附属工程：通透式围墙50.00m,硬化面积524.00m²,停车位1.00项，绿化面积791.00m²,给排水工程1.00项，电气工程1.00项",300,300,,280.297741,280.297741,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,19-25年台账（23年）有审定金额,否,是,
540425201812052,林芝市,察隅县,2018,察隅县下察隅镇沙玛村2018年林间套茶树试点项目,察隅县农牧局,下察隅镇沙玛村,灌溉工程：管道工程3000m，蓄水池1座，标识牌1个；茶苗种植工程：清除地表杂物40亩，挖穴、茶苗人工种植费80000株，有机肥、表土等回填人工费80000株；附属设施：大门1座，铁丝网围栏1430m；设备及工器具购置费：茶苗购置费80000株，购买及运输修剪机2台，购买、运输及安装防虫灯、黄板等设施10台，有机肥采购40t,169.98,169.98,,160.764874,160.764874,,经营类,茶,升级,升级,否,,,,,,,,,,,否,项目资料,,是,
540425201812053,林芝市,察隅县,2018,察隅县上察隅镇米古村2018年林间套种茶树试点项目,察隅县农牧局,上察隅米古村,灌溉工程：管道工程6700m，蓄水池2座，标识牌1个；茶苗种植工程：清除地表杂物148亩，挖穴、茶苗人工种植费420000株，有机肥、表土等回填人工费420000株；附属设施：大门3座，铁丝网围栏2600m；设备及工器具购置费：茶苗购置费 420000株，购买及运输修剪机4台，购买、运输及安装防虫灯、黄板等设施20台，有机肥采购148t,265.1,265.1,,254.671851,254.671851,,经营类,茶,升级,调整,否,,,,,,,,,,,否,其他资料+项目统计表19-25年（22年）,否,是,
540425201812054,林芝市,察隅县,2022,察隅县下察隅沙琼村茶叶粗加工场项目,察隅县农业农村局,下察隅沙琼村,茶叶加工厂房：建筑装饰工程728.80㎡，安装工程728.80㎡；附属工程：混凝土路面工程86.22㎡，硬化工程1272.11㎡，停车位工程90㎡，挡土墙工程1237.81㎡，土石方工程1项，总体电气工程1项，总体给排水工程1项,300,300,,300,300,,经营类,茶,升级,升级,是,,,,,,,,,,,否,项目资料,否,是,
540425201812057,林芝市,察隅县,2019,下察隅镇沙玛村石榴基地套种茶叶项目,下察隅镇人民政府,下察隅镇沙玛村,整地280亩，植苗、铺防草布280亩，引水管修复DN75（1.0MPA）PE管2000m，宣传牌一座，购买茶苗588000株，购买有机肥280000kg，购买防草布154001㎡等内容,522,522,,518.348114,518.348114,,经营类,茶,升级,调整,是,委托运营,私企,林芝毛尖茶叶有限责任公司,,,,,,,,否,19-25年台账（21年）有审定金额,否,是,是
540425201812058,林芝市,察隅县,2019,下察隅镇沙玛村枇杷基地套种茶叶项目,下察隅镇人民政府,下察隅镇沙玛村,新建蓄水池2个，灌溉工程1项，标志牌1座，整体含施底肥370亩，植苗、铺防草布370亩，购买茶苗777000株，购买有机肥370000kg，购买防草布192400 m² 等内容,787,787,,758.566162,758.566162,,经营类,茶,升级,升级,是,委托运营,私企,林芝毛尖茶叶有限责任公司,,,,,,,,否,19-25年台账（21年）有审定金额,否,是,
540425201812059,林芝市,察隅县,2017,下察隅镇沙玛、卡地村茶叶种植基地建设项目,下察隅镇人民政府,下察隅镇沙玛、卡地村,新建茶园338.85亩。其中沙玛村132.05亩、卡地村206.8亩，土地平整、灌溉、茶树种植、设备购置及附属,637,637,,367.246444,367.246444,,经营类,茶,升级,升级,否,,,,,,,,,,,否,立项批复+财评,否,是,
540425201812060,林芝市,察隅县,2019,察隅县下察隅镇宗古村茶叶种植项目,下察隅镇人民政府,下察隅镇宗古村,在下察隅镇宗古村种植茶叶386亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,788.54844,788.54844,,304.4,304.4,,经营类,茶,升级,升级,是,委托运营,私企,察隅县德茗茶业有限责任公司,,,,,,,,否,项目资料，清退协议,否,是,
540425201812061,林芝市,察隅县,2019,察隅县下察隅镇自更村茶叶种植项目,下察隅镇人民政府,下察隅镇自更村,在下察隅镇自更村种植茶叶430亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,870.3254,870.3254,,344.36,344.36,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，清退协议,,是,
540425201812062,林芝市,察隅县,2019,察隅县下察隅镇竹尼村茶叶种植项目,下察隅镇人民政府,下察隅镇竹尼村,在下察隅镇竹尼村种植茶叶903亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,1674.45035,1674.45035,,741.2,741.2,,经营类,茶,升级,升级,是,委托运营,私企,察隅县德茗茶业有限责任公司,,,,,,,,否,项目资料，清退协议,,是,
540425201812063,林芝市,察隅县,2019,察隅县下察隅镇塔玛村茶叶种植项目,下察隅镇人民政府,下察隅镇塔玛村,在下察隅镇塔玛村种植茶叶508亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,956.651018,956.651018,,415.38,415.38,,经营类,茶,升级,升级,是,委托运营,私企,察隅县德茗茶业有限责任公司,,,,,,,,否,项目资料，清退协议,否,是,
540425201812064,林芝市,察隅县,2019,察隅县下察隅镇塔林村茶叶种植项目,下察隅镇人民政府,下察隅镇塔林村,在下察隅镇塔林村种植茶叶540亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,1012.084842,1012.084842,,401.76,401.76,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，清退协议,,是,
540425201812065,林芝市,察隅县,2019,察隅县下察隅镇沙琼村茶叶种植项目,下察隅镇人民政府,下察隅镇沙琼村,在下察隅镇沙琼村种植茶叶2056亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,3875.50821,3875.50821,,1638.24,1638.24,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，清退协议,否,是,
540425201812066,林芝市,察隅县,2019,察隅县下察隅镇共同村茶叶种植项目,下察隅镇人民政府,下察隅镇共同村,在下察隅镇共同村种植茶叶320亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,614.0174,614.0174,,235.72,235.72,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，清退协议,否,是,
540425201812067,林芝市,察隅县,2019,察隅县下察隅镇嘎腰村茶叶种植项目,下察隅镇人民政府,下察隅镇嘎腰村,在下察隅镇嘎腰村种植茶叶414亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,839.74,839.74,,541.3906,541.3906,,经营类,茶,升级,升级,是,委托运营,私企,,,,,,,,,否,项目资料，第二次清退资料,否,是,
540425201812068,林芝市,察隅县,2019,察隅县下察隅镇嘎堆嘎美村茶叶种植项目,下察隅镇人民政府,下察隅镇嘎堆嘎美村,在下察隅镇嘎堆嘎美村种植茶叶430亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,791.20116,791.20116,,520.027,520.027,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，第二次清退资料,否,是,
540425201812069,林芝市,察隅县,2019,察隅县下察隅镇新村茶叶种植项目,下察隅镇人民政府,下察隅镇新村,在下察隅镇新村种植茶叶358.46亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,624.029439,624.029439,,404.0496,404.0496,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，第二次清退资料,否,是,
540425201812070,林芝市,察隅县,2019,察隅县下察隅镇扎巴村茶叶种植项目（2019）,下察隅镇人民政府,下察隅镇扎巴村,在下察隅镇扎巴村种植茶叶167亩，涉及土地平整、灌溉工程、茶树种植及其附属设施等建设,341.761554,341.761554,,30.06,30.06,,经营类,茶,升级,升级,是,委托运营,私企,察隅县雪山圣茗有限公司,,,,,,,,否,项目资料，清退协议,否,是,
540425201812071,林芝市,察隅县,2022,察隅县2022年巩固村搬迁配套茶叶种植项目,察隅县农业农村局,上察隅永宁村,整地280亩，植苗、铺防草布280亩，引水管修复DN75（1.0MPA）PE管2000m，宣传牌一座，购买茶苗588000株，购买有机肥280000kg，购买防草布154001㎡等内容,522,522,,522,522,,经营类,茶,升级,调整,否,,,,,,,,,,,否,还未财评,否,是,
540425201421005,林芝市,察隅县,2014,察隅县古拉乡觉布如村灵芝种植项目,古拉乡人民政府,古拉乡觉布如村,新建遮阳温室2栋，每栋温室占地240㎡（规格：24m×10m），购买灵芝菌袋1万袋（其中：4000袋用于遮阳温室栽种，其余6000袋野外栽种），并聘请地区科技局专家进行实地技术指导。,31,31,,31,31,,经营类,菌类,升级,调整,否,,,,,,,,,,县人民政府2014年会议纪要第二十七号,否,,否,是,是
540425201521006,林芝市,察隅县,2015,古拉乡觉布如贝母、灵芝、玛卡种植项目,古拉乡人民政府,古拉乡觉布如村,推广种植玛卡20亩，种植贝母10亩，种植灵芝1200平方,140,140,,140,140,,经营类,菌类,升级,调整,否,,,,,,,,,,林地扶发〔2015〕复字1号,否,,否,是,是
540425201319049,林芝市,察隅县,2013,古拉乡日托村核桃种植项目,古拉乡人民政府,古拉日托村,种核桃160亩，约9600株，铁丝网围栏1800米，新修土渠1500米。,28,28,,28,26,2,经营类,核桃,调整,调整,否,,,,,,,,,,藏扶办〔2013〕复字10号,否,项目资料,否,是,是
540425201419050,林芝市,察隅县,2014,古拉乡核桃种植项目,古拉乡人民政府,古拉则巴村、觉布如、关龙,在则巴、觉不如与关龙三村种植核桃1050亩：购买核桃苗木35381株，挖坑回填35381个；购买PE管材2780米；新建铁丝网围栏4000米及其它附属建设等。,166.75,166.75,,166.75,166.75,,经营类,核桃,调整,调整,否,,,,,,,,,,林地扶发〔2014〕复字8号.,否,,否,是,是
540425201619008,林芝市,察隅县,2015,察隅县古玉乡巴依村修建水磨糌粑加工厂建设项目,察隅县民族宗教事务局,古玉乡巴依村,新建水磨坊6座，每组1座,35,30,5,30,30,,公益类,其他,调整,,否,,,,,,,,,,,否,资金文件+合同,是,是,
540425201307022,林芝市,察隅县,2013,生猪养殖基地建设项目,察隅县民族宗教事务局,下察隅镇松古村,扩建猪舍334㎡，修建围栏500米，购买种猪、饲料加工设备,50,46,4,46,46,,经营类,猪,调整,调整,否,,,,,,,,,,,否,资金文件+合同,是,是,
540425201319053,林芝市,察隅县,2013,察瓦龙乡目巴村核桃种植基地建设项目,察隅县民族宗教事务局,察瓦龙乡目巴村,新建核桃种植基地10亩，购买核桃树苗1500棵修建灌溉水渠600米，围栏3000米。,45,40,5,45,40,5,经营类,核桃,调整,调整,否,,,,,,,,,,,否,资金文件+合同,是,是,是
540425201319054,林芝市,察隅县,2013,上察隅镇翠西村核桃基地建设,察隅县民族宗教事务局,上察隅镇翠西村,新建核桃种植基地水渠、简易道路以及附属设施建设。,110,100,10,100,100,,经营类,其他,调整,调整,否,,,,,,,,,,,否,资金文件+合同,是,是,
540425201419014,林芝市,察隅县,2015,古玉乡巴依村典东组藏药材种植项目,察隅县民族宗教事务局,古玉乡巴依村,新种植丹参、黄牡丹等藏药原料原材料200亩,55,50,5,50,50,,经营类,藏药,调整,调整,否,,,,,,,,,,,否,资金文件+合同,是,是,是
540425201419055,林芝市,察隅县,2014,下察隅镇夏尼村魔芋种植、加工基地建设项目,察隅县民族宗教事务局,下察隅镇夏尼村,新建拟魔芋种植基地10亩，铁丝围栏2000米，够加工设备等,65,60,5,60,60,,经营类,其他,调整,调整,否,,,,,,,,,,,否,资金文件+合同,,是,是
540425201307023,林芝市,察隅县,2013,下察隅镇沙琼村二村藏猪养殖项目,察隅县民族宗教事务局,下察隅镇沙琼村,新建猪舍800平方米、围墙5000米以及附属设施建设。,55,55,,50,50,,经营类,猪,调整,调整,否,,,,,,,,,,,否,资金文件+合同,,是,
540425201407023,林芝市,察隅县,2014,察瓦龙前中瓦村水磨坊建设项目,察隅县民族宗教事务局,察瓦龙前中瓦村,新建10座，每组2座水泥结构,55,50,5,50,50,,公益类,其他,调整,,,,,,,,,,,,,否,资金文件+财评,否,是,
540425201407024,林芝市,察隅县,2014,察隅县下察隅镇嘎腰村天麻种植基地建设项目,察隅县民族宗教事务局,下察隅镇嘎腰村,新建种植面积6亩，围墙280米,50,45,5,45,45,,经营类,其他,调整,调整,,,,,,,,,,,,否,资金文件+财评,,是,是
540425201407025,林芝市,察隅县,2014,上察隅镇阿扎村核桃种植基项目,察隅县民族宗教事务局,上察隅镇阿扎村,种植面积200亩，机耕道1000米，水渠1000米及附属设施项目建设,120,105,15,104.45,104.45,,经营类,核桃,调整,调整,,,,,,,,,,,,否,合同及竣工结算报告+资金文件,是,是,
540425201307025,林芝市,察隅县,2013,察隅县上察隅镇西巴村新建藏猪、藏鸡养殖基地建设项目,察隅县民族宗教事务局,上察隅镇西巴村,新建藏猪舍、鸡舍共380平方米以及附属设施建设。,48,45,3,45,45,,经营类,猪,调整,调整,,,,,,,,,,,,否,资金文件+财评+合同,是,是,
540425201307026,林芝市,察隅县,2013,察隅县下察隅镇新村土鸡养殖基地建设项目,察隅县民族宗教事务局,下察隅镇新村,修建鸡舍150㎡、围栏、工房，购买鸡种、机器设备等。,45,40,5,40,40,,经营类,鸡,调整,调整,,,,,,,,,,,,否,资金文件+财评,是,是,
540425201519412,林芝市,察隅县,2015,上察隅镇鸡爪谷种植项目,察隅县民族宗教事务局,上察隅镇,种植鸡爪谷60亩，修建灌溉水渠1.5公里，架设网围栏4千米,55,45,10,45,45,,经营类,其他,调整,调整,,,,,,,,,,,,否,资金文件+合同,,是,
540425201307027,林芝市,察隅县,2013,上察隅镇翠西村核桃基地建设,察隅县民族宗教事务局,上察隅镇翠西村,新建核桃种植基地水渠、简易道路以及附属设施建设。,39,34,5,34,34,,经营类,核桃,调整,调整,,,,,,,,,,,,否,资金文件+合同,是,是,
